Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
-0.0029698,-0.8008,0.00087134,0.0042945,-0.0036296,0.016752
-0.0029698,-0.84029,0.00085887,0.0042945,-0.0036284,0.016753
-0.0029698,-0.7569,0.00084638,0.0042945,-0.0036274,0.016753
-0.0029698,-0.80242,0.00083388,0.0042945,-0.0036264,0.016754
-0.0029698,-0.84185,0.00082141,0.0042945,-0.0036256,0.016754
-0.0029698,-0.75828,0.00080892,0.0042945,-0.0036248,0.016754
-0.0029698,-0.80352,0.00079644,0.0042945,-0.0036241,0.019072
-0.0029698,-0.80308,0.00078396,0.0042945,-0.0036234,0.014538
-0.0029698,-0.80255,0.00077151,0.0042945,-0.0036229,0.016755
-0.0029698,-0.80203,0.010848,0.0042945,-0.0036224,0.016755
-0.0029698,-0.84113,-0.0087936,0.0042945,-0.003622,0.016755
-0.0029698,-0.75741,0.00074438,0.0042945,-0.0036216,0.016755
-0.0029698,-0.8026,0.00073178,0.0042945,-0.0036213,0.016755
-0.0029698,-0.84177,0.00071919,0.0042945,-0.0036211,0.016754
-0.0029698,-0.7976,0.00070663,0.0042945,-0.0036209,0.016754
-0.0029698,-0.799,0.00069406,0.0042945,-0.0036207,0.016754
-0.0029698,-0.76067,0.00068153,0.0042945,-0.0036206,0.016753
-0.0029698,-0.80548,0.000669,0.0042945,-0.0036205,0.019071
-0.0029698,-0.84411,0.0006565,0.0042945,-0.0036205,0.014536
-0.0029698,-0.79933,0.00064403,0.0042945,-0.0036204,0.016753
-0.0029698,-0.76052,0.00063157,0.0042945,-0.0036204,0.016752
-0.0029698,-0.80494,0.00061914,0.0042945,-0.0036204,0.01907
-0.0029698,-0.80374,0.00060672,0.0042945,-0.0077784,0.014535
-0.0029698,-0.80259,0.010683,0.0042945,-0.0035421,0.016751
-0.0029698,-0.84117,0.0011308,0.0042945,-0.0035659,0.016751
-0.0029698,-0.7966,-0.0089605,0.0042945,0.00056999,0.01675
-0.0029698,-0.79776,0.010667,0.0042945,-0.0036866,0.016749
-0.0029698,-0.75938,0.0011136,0.0042945,-0.0078391,0.016748
-0.0029698,-0.80425,0.001111,0.0042945,0.00056069,0.016748
-0.0029698,-0.80345,-0.0089808,0.0042945,-0.0036943,0.016747
-0.0029698,-0.84222,0.010646,0.0042945,-0.0036874,0.016746
-0.0029698,-0.75814,-0.0089969,0.0042945,-0.0078387,0.016746
-0.0029698,-0.80299,0.010629,0.0042945,-0.0035959,0.016745
-0.0029698,-0.80227,-0.0090134,0.0042945,0.00054435,0.016745
-0.0029698,-0.8016,0.010613,0.0042945,-0.0037083,0.016744
-0.0029698,-0.801,-0.0090303,0.0042945,-0.0036992,0.016744
-0.0029698,-0.80051,0.0005066,0.0042945,-0.0036905,0.016743
-0.0029698,-0.80017,0.00049283,0.0042945,-0.0036822,0.016743
-0.0029698,-0.79994,0.010568,0.0042945,-0.0036743,0.016743
-0.0029698,-0.79984,-0.0090749,0.0042945,-0.0036669,0.016742
-0.0029698,-0.83941,0.010551,0.0042945,-0.00366,0.016742
-0.0029698,-0.75615,-0.0090924,0.0042945,-0.0036536,0.016742
-0.0029698,-0.80179,0.010533,0.0042945,-0.0036477,0.016742
-0.0029698,-0.80178,0.00097888,0.0042945,-0.0036424,0.016743
-0.0029698,-0.80166,0.00097498,0.0042945,-0.0036375,0.016742
-0.0029698,-0.8015,0.00097091,0.0042945,-0.003633,0.016742
-0.0029698,-0.8409,0.00096665,0.0042945,-0.0036291,0.016742
-0.0029698,-0.7574,-0.0091269,0.0042945,-0.0036256,0.016742
-0.0029698,-0.80273,0.010498,0.0042945,-0.0077804,0.016741
-0.0029698,-0.80239,0.00094259,0.0042945,0.00061662,0.016741
-0.0029698,-0.802,-0.0091513,0.0042945,-0.0036413,0.01674
-0.0029698,-0.84117,0.00038398,0.0042945,-0.0036375,0.01674
-0.0029698,-0.75745,0.010458,0.0042945,-0.0036341,0.016739
-0.0029698,-0.80262,0.00090211,0.0042945,-0.0036309,0.016739
-0.0029698,-0.80215,-0.0091921,0.0042945,-0.003628,0.016739
-0.0029698,-0.80166,0.010432,0.0042945,-0.0036255,0.016739
-0.0029698,-0.8012,0.00087593,0.0042945,-0.0036232,0.016739
-0.0029698,-0.8008,0.00087044,0.0042945,-0.0036212,0.016738
-0.0029698,-0.80047,-0.0092243,0.0042945,-0.0036194,0.016739
-0.0029698,-0.80025,0.00031011,0.0042945,-0.0036178,0.016739
-0.0029698,-0.80012,0.010383,0.0042945,-0.0036165,0.016739
-0.0029698,-0.80005,0.00082659,0.0042945,-0.0036154,0.01674
-0.0029698,-0.80005,0.00082064,0.0042945,-0.0036144,0.01674
-0.0029698,-0.80009,-0.0092746,0.0042945,-0.0036137,0.016741
-0.0029698,-0.80016,0.010349,0.0042945,-0.0036131,0.016742
-0.0029698,-0.80025,0.00079169,0.0042945,-0.0036126,0.016743
-0.0029698,-0.80033,0.00078532,0.0042945,-0.0036122,0.016744
-0.0029698,-0.80041,0.0007788,0.0042945,-0.00777,0.016745
-0.0029698,-0.80048,0.00077213,0.0042945,-0.0035336,0.019064
-0.0029698,-0.80053,-0.0093238,0.0042945,0.00060036,0.01453
