fv2 ,+5.944319338454952e+00,+8.834790419604764e-01,+6.098137984905657e+00,+1.010379254843390e+00,+6.099639443689842e+00,+9.001269462036342e-01,"5,551438","0,81",,"5,540691","1,05","5,53","1,0416"
fs2 ,+7.464813743877476e+00,+1.254131963873822e+00,+7.146549677224259e+00,+1.485652800523339e+00,+7.144226873815213e+00,+1.331178975222921e+00,"8,20129","1,3",,"8,223956","1,71","8,26","1,6916"
off2,+8.983291356334797e-01,+5.889370987080554e+01,+9.755452179920923e-01,+5.900094192307870e+01,+1.047146390158291e+00,+4.817422972006280e+01,"1,317817","37,37",,"1,376341","44,48","1,37","44,5933"
xx3R,+1.288468226001244e-01,+9.927654940685004e+00,+1.390787872497393e-01,+9.926012358671075e+00,+1.288148175181527e-01,+8.602966858054867e+00,"0,128256","7,58",,"0,121849","9,01","0,127","8,9567"
xy3 ,-9.033252639434983e-03,+6.946277761360391e+01,-5.441600275318892e-03,+1.249756164644820e+02,-1.346067573360975e-02,+4.002125890520169e+01,"0,004346","122,81",,"-0,00021","2915,88","0,000639","990,9884"
xz3 ,+4.942037985358578e-04,+1.656659886122923e+03,+2.329197588924125e-03,+3.826632540852424e+02,+3.155110786492414e-03,+2.301801967414154e+02,"-0,001861","326,89",,"-0,001561","424,64","-0,00372","186,9976"
yz3 ,+4.585727911690807e-03,+1.069561478770102e+02,+3.566217398303412e-03,+1.511356923296639e+02,+2.810686276884043e-03,+1.517955459773187e+02,"0,008742","41,72",,"0,00719","54,67","0,00599","68,6018"
zz3R,+1.030170897200380e-01,+1.015276116079055e+01,+1.083406323946244e-01,+1.078880283637148e+01,+1.073104565061557e-01,+9.369830754728254e+00,"0,106995","7,12",,"0,106027","7,97","0,107","8,1704"
mx3 ,+8.333661273760526e-02,+3.523163659132285e+01,+8.246890440970718e-02,+3.799816731412603e+01,+8.854072621901091e-02,+2.979214889536486e+01,"0,072593","31,24",,"0,079181","30,51","0,0786","31,9877"
my3R,-6.350711476663443e-01,+2.344916632271511e+00,-6.156821741857643e-01,+2.547395358248282e+00,-6.165581415377496e-01,+2.137352236865855e+00,"-0,593491","1,97",,"-0,603345","2,02","-0,601","2,1079"
ia3 ,+1.054810544431492e-01,+8.096913449441734e+00,+1.038075990811379e-01,+9.034537870699735e+00,+9.941397470697212e-02,+7.912738196428901e+00,"0,095969","6,7",,"0,098487","6,93","0,0988","7,2114"
fv3 ,+1.983129288171821e+00,+2.001347519725704e+00,+2.062321618525758e+00,+2.038764244990148e+00,+2.044488469807110e+00,+1.630496601568511e+00,"1,954325","1,64",,"1,960373","1,54","1,97","1,6612"
fs3 ,+6.515115666000422e+00,+1.850725579867847e+00,+6.178257874686088e+00,+2.014316679178495e+00,+6.214019374003440e+00,+1.579536676546904e+00,"6,38807","1,65",,"6,358206","1,57","6,34","1,7063"
off3,+4.105181189559651e-01,+6.098831008515100e+01,+4.032271929863399e-01,+6.565622069708923e+01,+4.382051386559195e-01,+5.059706887064341e+01,"0,322509","58,88",,"0,326553","60,97","0,326","63,2178"
xx4R,+7.570426997069528e-03,+6.264101365916764e+01,+6.295258264793433e-03,+8.571939859693268e+01,+1.045312468094283e-02,+4.973661669988734e+01,"0,005125","90,59",,"0,004128","111,89","0,00464","103,6509"
xy4 ,-3.832067688240430e-03,+5.726307550072620e+01,-3.426831468828064e-03,+7.269394960952626e+01,-5.353784828326377e-03,+4.943250112684249e+01,"-0,002795","75,38",,"-0,00676","29,16","-0,00687","30,0017"
xz4 ,-1.426642177805244e-03,+1.764777008075839e+02,-1.542403827667046e-03,+1.809413652696501e+02,-8.084941493763730e-03,+3.431532732725465e+01,"-0,00472","53,75",,"-0,000549","410,87","-0,00178","132,0915"
yz4 ,-6.678353027600331e-03,+4.099631934146100e+01,-8.466660384120141e-03,+3.607836198758319e+01,-1.453878372355770e-02,+2.282421697379971e+01,"-0,004842","57,91",,"-0,005637","40,26","-0,00599","39,5343"
zz4R,+4.953495298629748e-03,+4.523661800825695e+01,+2.861164084528421e-03,+8.763014718851602e+01,-1.225185083179877e-03,+2.807327109734568e+02,"-0,004349","73,85",,"0,000497","486,31","0,00116","216,3227"
mx4 ,-2.827738232690476e-02,+2.135810822458386e+01,-3.279589748478221e-02,+2.018836291808362e+01,-3.584240578675974e-02,+2.002861418812118e+01,"-0,026328","22,12",,"-0,018409","26,91","-0,0219","23,3969"
my4R,-1.004632903301974e-02,+6.401877806397779e+01,-1.069236375093764e-02,+6.678795422980029e+01,+2.331898601288676e-03,+3.456347608643648e+02,"0,000343","2142,13",,"-0,008326","64,64","-0,00726","77,0029"
ia4 ,+3.077871955443237e-02,+7.465321692970949e+00,+3.214178400348545e-02,+8.047481381304667e+00,+3.268462277841893e-02,+1.218572629507490e+01,"0,033172","10,67",,"0,031616","6,77","0,0313","7,1472"
fv4 ,+1.073109456579066e+00,+1.528648264314592e+00,+1.129152176066566e+00,+1.544253557362297e+00,+1.115728551253150e+00,+3.043102088714469e+00,"1,092621","2,92",,"1,096651","1,37","1,11","1,4061"
fs4 ,+2.639378002356980e+00,+2.240033330401501e+00,+2.410751810107308e+00,+2.553786807411394e+00,+2.442061347637823e+00,+4.793891611634474e+00,"2,518766","4,65",,"2,532004","2,15","2,48","2,2869"
